cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_window_size,cfg_block_size,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,keep_ratio,sparsity_ratio,_status
1,8,64,512,fp16,cuda,decode,local_window,masked_sdpa,True,,128,,0.005611519960220903,0.005119999870657921,0.010239999741315842,0.06551392000168561,0.06143999844789505,0.07065600156784058,0.06637600008398295,0.0655359998345375,0.0707072015851736,9.63525390625,0.0,1.0,0.001953125,0.998046875,ok
1,8,64,512,fp16,cuda,decode,local_window,masked_sdpa,True,,256,,0.00581408005207777,0.006111999973654747,0.009216000325977802,0.06111200038343668,0.060416001826524734,0.06768640056252478,0.0659452803619206,0.06451199948787689,0.0707072015851736,9.63525390625,0.0,1.0,0.001953125,0.998046875,ok
1,8,64,512,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,0.006777599991764873,0.005119999870657921,0.009267200296744701,0.06394912030547857,0.06092800013720989,0.0707072015851736,0.06362048020586371,0.06348799914121628,0.06968320123851299,9.63525390625,1.0001927614212036,0.028586313128471375,1.0,0.0,ok
1,8,64,512,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,0.0053039999422617255,0.005119999870657921,0.007219200092367825,0.06491104036569595,0.06143999844789505,0.07178240194916724,0.06520576011389494,0.06347199901938438,0.06978560127317905,9.63525390625,1.0105849504470825,-0.12429981678724289,1.0,0.0,ok
1,8,64,2048,fp16,cuda,prefill,dense,dense_sdpa,True,,,,0.004803199975285679,0.005119999870657921,0.006195200211368498,0.06578111976385116,0.0655359998345375,0.06960160098969936,0.06604768000543118,0.0655359998345375,0.0696816012263298,18.1884765625,0.0,1.0,1.0,0.0,ok
1,8,64,2048,fp16,cuda,prefill,topk,masked_sdpa,True,32,,,0.11638784134760499,0.1157120019197464,0.12600320503115653,1.3861990416049956,1.3824000358581543,1.417318344116211,1.497917445898056,1.4950400590896606,1.5299583673477173,217.125,1.6579645872116089,0.7196543216705322,0.030998352855051245,0.9690016471449487,ok
1,8,64,2048,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,0.11474880083464085,0.11264000087976456,0.1189376026391983,1.4265081524848937,1.4213119745254517,1.4623744428157806,1.5341260707378388,1.5298559665679932,1.5771647691726685,222.125,1.0603704452514648,0.813709557056427,0.061508662762323085,0.9384913372376769,ok
1,8,64,2048,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,0.11743168085813523,0.11363200098276138,0.12354559674859043,1.4669107270240784,1.462272047996521,1.5095296442508697,1.5770419263839721,1.5718400478363037,1.6189440488815308,232.125,0.6290199160575867,0.8990102410316467,0.12106515373352855,0.8789348462664714,ok
1,8,64,2048,fp16,cuda,prefill,local_window,masked_sdpa,True,,64,,0.12734464082866906,0.11366400122642517,0.18385920226573935,1.0074624103307723,1.0035200119018555,1.052774429321289,1.118371844291687,1.1141120195388794,1.1500544488430022,252.125,1.9870716333389282,0.4397411346435547,0.03076934814453125,0.9692306518554688,ok
1,8,64,2048,fp16,cuda,prefill,local_window,masked_sdpa,True,,128,,0.12094464062945917,0.11366400122642517,0.17966080084443084,1.0066841697692872,1.0030080080032349,1.0466815829277039,1.1185561609268189,1.1141120195388794,1.1622400283813477,252.125,1.343929648399353,0.5922023057937622,0.0605621337890625,0.9394378662109375,ok
1,8,64,2048,fp16,cuda,prefill,local_window,masked_sdpa,True,,256,,0.11847680129110813,0.11468800157308578,0.12293119691312313,1.0082406443357468,1.0024960041046143,1.0521088182926177,1.1191910445690154,1.1151360273361206,1.151129651069641,252.125,0.8621212840080261,0.7574607133865356,0.117218017578125,0.882781982421875,ok
1,8,64,2048,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,11.211356477737427,11.19539213180542,11.389082002639771,1.0359091174602508,1.031167984008789,1.0848768293857574,12.257525730133057,12.24499225616455,12.380876874923706,280.125,2.0738980770111084,0.4236256778240204,0.058199121522694,0.941800878477306,ok
1,8,64,2048,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,13.04838144302368,13.021696090698242,13.194290828704833,1.042165765762329,1.0373120307922363,1.0853888273239136,14.244542064666748,14.242815971374512,14.37317099571228,280.125,1.3630598783493042,0.5886564254760742,0.12015245622864812,0.8798475437713519,ok
1,8,64,2048,fp16,cuda,decode,dense,dense_sdpa,True,,,,0.004485119980527088,0.004095999989658594,0.006195200211368498,0.010086399982683361,0.010239999741315842,0.013311999849975109,0.011120639969594776,0.010239999741315842,0.015359999611973763,12.1279296875,0.0,1.0,1.0,0.0,ok
1,8,64,2048,fp16,cuda,decode,topk,masked_sdpa,True,32,,,0.005457919959444553,0.005119999870657921,0.009216000325977802,0.07830335974693298,0.07782399654388428,0.08606719933450221,0.07975967817008495,0.07884799689054489,0.08499199897050858,20.158203125,1.0319185256958008,-0.07994173467159271,1.0,0.0,ok
