cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_keep_ratio,cfg_window_size,cfg_block_size,timing_source,actual_backend,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,keep_ratio,sparsity_ratio,_status
1,8,64,256,bf16,cuda,prefill,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.005568000031635165,0.005376000190153718,0.006144000217318535,0.03163391996175051,0.03150400146842003,0.03416160102933645,0.03391615971922875,0.03379200026392937,0.035551998764276505,1.75830078125,0.28396663069725037,0.9618276357650757,0.0017571560226711616,0.4163424124513619,0.5836575875486381,ok
1,8,64,256,bf16,cuda,prefill,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.0058374400343745945,0.00595200015231967,0.006598399882204829,0.034954239912331105,0.03356799855828285,0.03481600061058998,0.03648192018270493,0.0366239994764328,0.03788800165057182,1.7607421875,0.11438856273889542,0.9935086965560913,0.0003039220447196342,0.7451969844357976,0.2548030155642024,ok
1,8,64,256,bf16,cuda,decode,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.004030079995281995,0.004095999989658594,0.004487999994307755,0.014054400064051151,0.010944000445306301,0.01238719974644482,0.01128512004390359,0.011264000087976456,0.012160000391304493,0.5029296875,0.0,0.9999999403953552,0.0,1.0,0.0,ok
1,8,64,256,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.00595776011236012,0.006128000095486641,0.0062672001309692854,0.034021119996905325,0.03379200026392937,0.03686400130391121,0.04490432041697204,0.03763199970126152,0.0406336011365056,0.50634765625,1.0030490159988403,0.03561738133430481,0.5473829097337206,0.25,0.75,ok
1,8,64,256,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.005681280018761754,0.005488000111654401,0.006225599907338619,0.045409920662641524,0.03481600061058998,0.11805120073258837,0.038027520328760146,0.03867200016975403,0.03986399974673986,0.50634765625,1.0049694776535034,0.024521663784980774,0.4689178512723417,0.484375,0.515625,ok
1,8,64,256,bf16,cuda,decode,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.005767680061981082,0.005839999997988343,0.006144000217318535,0.04228671963326633,0.03174399957060814,0.12018719781190114,0.0375897603482008,0.03452799841761589,0.03820639997720718,0.50634765625,1.0033682584762573,0.04946373403072357,0.5228001379923802,0.25,0.75,ok
1,8,64,256,bf16,cuda,decode,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.005592320002615452,0.005439999978989363,0.00616160009521991,0.0434585602581501,0.03377600014209747,0.12021760288625913,0.03572288028895855,0.035840000957250595,0.03771200031042099,0.50634765625,0.9985644221305847,0.07024824619293213,0.4802041188697471,0.484375,0.515625,ok
1,8,64,512,bf16,cuda,prefill,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.00395136000122875,0.004031999967992306,0.004145599901676178,0.01847040046006441,0.018432000651955605,0.01881920052692294,0.018261760380119084,0.018432000651955605,0.019409600645303726,4.5478515625,0.0,1.0,0.0,1.0,0.0,ok
1,8,64,512,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.0058508800808340315,0.005984000163152814,0.006207999773323536,0.034625280499458316,0.03481600061058998,0.03686400130391121,0.038403200283646584,0.03798399865627289,0.039692800492048264,4.51806640625,0.5240006446838379,0.8847939372062683,0.0034981580909831823,0.24951267056530213,0.7504873294346979,ok
1,8,64,512,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.0058099200669676065,0.005936000030487776,0.006144000217318535,0.037192320302128795,0.03686400130391121,0.039404799975454805,0.0459654395468533,0.04095999896526337,0.04237120021134615,4.52294921875,0.3855050504207611,0.9329671263694763,0.0019160573450555333,0.43420291179337234,0.5657970882066277,ok
