batch_size,num_heads,head_dim,seq_len,dtype,device,mode,pattern_type,backend,causal,topk,window_size,block_size,timing_source,actual_backend,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,top1_match_rate,_status
10,8,256,128,fp16,cuda,decode,bigbird2,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.5218912041187287,0.5184319913387299,0.5499648213386535,32.064453125,0.30743008852005005,0.9527966976165771,8.390109692467996e-49,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird2,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.4439526408910751,0.4399999976158142,0.4700176030397415,32.0634765625,0.31499814987182617,0.950537383556366,1.280939039549885e-39,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird2,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.4453011181950569,0.4394399970769882,0.48652000874280926,32.064453125,0.30709895491600037,0.9530203342437744,6.70228153262409e-39,1.0,ok
10,8,256,512,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,DenseSdpaBackend,0.5970019191503525,0.5956960022449493,0.6145024269819259,272.9541015625,0.0,1.0,0.0,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,1.2309881699085237,1.22707200050354,1.263820767402649,435.0888671875,0.03534293174743652,0.9993754625320435,1.1623205360375833e-29,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,1.2405372893810271,1.2298239469528198,1.2861952185630798,435.0927734375,0.019625075161457062,0.9998075366020203,0.0,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.6329324793815613,0.6307039856910706,0.6533168107271194,240.1279296875,0.021122777834534645,0.9997769594192505,4.9291477830395e-37,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.638069441318512,0.6349599957466125,0.6605408221483231,240.1318359375,0.013352228328585625,0.999910831451416,0.0,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird2,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,1.2301139223575592,1.2256640195846558,1.2688288033008575,435.1123046875,0.035351842641830444,0.9993751645088196,0.0,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird2,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,1.228682243824005,1.223680019378662,1.2648367762565613,435.1123046875,0.019415531307458878,0.9998116493225098,0.0,1.0,ok
